"DisplayName","DistinguishedName","Enabled","GivenName","Name","ObjectClass","ObjectGUID","SamAccountName","SID","Surname","UserPrincipalName"
,"CN=Steve Dorrough,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Steve","Steve Dorrough","user","ad41761b-265b-40cd-a7b8-0b1a824f1e22","stevedorrough","S-1-5-21-3260797174-3569655007-1560041723-1161","Dorrough",
,"CN=Russell Nelson,OU=DOCTORS,OU=USERS,OU=ACME MEDICAL,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Russell","Russell Nelson","user","8deb2e1e-6140-4294-b13e-624f2791ce44","russellnelson","S-1-5-21-3260797174-3569655007-1560041723-1178","Nelson",
"Kel Kratzer","CN=Kel Kratzer,OU=DOCTORS,OU=USERS,OU=ACME MEDICAL,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Kel","Kel Kratzer","user","030db115-44a9-4b3e-be22-2a4981ea76f2","kelkratzer","S-1-5-21-3260797174-3569655007-1560041723-1179","Kratzer",
,"CN=Niel Self,OU=NURSES,OU=USERS,OU=ACME MEDICAL,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Niel","Niel Self","user","3163066e-7b02-461a-9350-1e6b6467c953","nielself","S-1-5-21-3260797174-3569655007-1560041723-1180","Self",
"Matthew Almendinger","CN=Matthew Almendinger,OU=IT,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Matthew","Matthew Almendinger","user","8fb21913-ed3f-4cf5-a1bf-ef92178a2012","malmendinger","S-1-5-21-3260797174-3569655007-1560041723-1187","Almendinger",
,"CN=Jane Admin,OU=ADMIN STAFF,OU=USERS,OU=ACME MEDICAL,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Jane","Jane Admin","user","7a45b6bd-797d-4ef2-90cb-8e25aa2c2aa3","janeadmin","S-1-5-21-3260797174-3569655007-1560041723-1202","Admin",
"Jerry Smith","CN=Jerry Smith,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Jerry","Jerry Smith","user","b5711069-10d6-4215-8925-1e339845fd38","jerryadmin","S-1-5-21-3260797174-3569655007-1560041723-1203","Smith",
"_Template 1","CN=_Template1,OU=IT,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","False",,"_Template1","user","2fe85f1a-263d-4f01-8496-1870630f29ff","_Template1","S-1-5-21-3260797174-3569655007-1560041723-1208",,"_Template1@tkdemo.com"
"_Template_Adminstration","CN=_TEMPLATE_USER_ADMINISTRATION,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","False","_Template_Adminstration","_TEMPLATE_USER_ADMINISTRATION","user","30c1e999-f1ab-4a2e-8573-522ee2e3121b","_Template_Adminstrat","S-1-5-21-3260797174-3569655007-1560041723-1245",,
"_TEMPLATE_FACULTY","CN=_TEMPLATE_USER_FACULTY,OU=FACULTY,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","False","_TEMPLATE_FACULTY","_TEMPLATE_USER_FACULTY","user","d0c04fbb-0c43-498d-aa27-f9a5440ba614","_TEMPLATE_FACULTY","S-1-5-21-3260797174-3569655007-1560041723-1266",,"_TEMPLATE_FACULTY@cimitrademo.com"
"_TEMPLATE_STUDENTS","CN=_TEMPLATE_USER_STUDENTS,OU=STUDENTS,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","False","_TEMPLATE_STUDENTS","_TEMPLATE_USER_STUDENTS","user","91c15508-10ab-41f8-aff1-0477d48e8d2a","_TEMPLATE_STUDENTS","S-1-5-21-3260797174-3569655007-1560041723-1267",,"_TEMPLATE_STUDENTS@cimitrademo.com"
"Joey Admin","CN=Joey Admin,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Joey","Joey Admin","user","726ad4e5-0055-4d1d-b321-aedc7da51282","jadmin","S-1-5-21-3260797174-3569655007-1560041723-1268","Admin",
"Robert Jones","CN=Robert Jones,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Robert","Robert Jones","user","41c85432-e8b1-4408-a66d-8b3c35bebde3","robertjones","S-1-5-21-3260797174-3569655007-1560041723-1290","Jones",
"Steve McQueen","CN=Steve McQueen,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Steve","Steve McQueen","user","5d54ac79-4390-42f4-b5eb-24c058e3b731","stevemcqueen","S-1-5-21-3260797174-3569655007-1560041723-1325","McQueen",
"Steve Griffin","CN=Steve Griffin,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Steve","Steve Griffin","user","2bee2b7a-3e5e-40bb-850b-a3d59e8bb1b3","stevegriffin","S-1-5-21-3260797174-3569655007-1560041723-1326","Griffin",
"Eliot Lloyd Lanes","CN=Eliot Lloyd Lanes,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Eliot","Eliot Lloyd Lanes","user","2bc4bfb8-4d84-458d-a8aa-9e8a0aa9b8be","elanes","S-1-5-21-3260797174-3569655007-1560041723-1327","Lloyd Lanes",
"Julie Storey","CN=Julie Storey,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","False","Julie","Julie Storey","user","d85d6c90-9996-48b3-a832-6b376d48d770","jstorey","S-1-5-21-3260797174-3569655007-1560041723-1328","Storey",
"Laif Dorton","CN=Laif Dorton,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Laif","Laif Dorton","user","fc641a92-f7fc-4262-bfed-411cda2da33b","laifdorton","S-1-5-21-3260797174-3569655007-1560041723-1344","Dorton","laifdorton@cimitra.com"
"Jacob Westover","CN=Jacob Westover,OU=ANOTHER OU WITH SPACES,OU=TEST OU,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Jacob","Jacob Westover","user","b426faac-ac80-4202-ba30-a9f6b50f51ba","jacobwestover","S-1-5-21-3260797174-3569655007-1560041723-1345","Westover","jacobwestover@cimitrademo.com"
"Ricky Varney","CN=Ricky Varney,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Ricky","Ricky Varney","user","56ba0ea9-4d4d-4465-bce1-418d2e7f8e06","rickyvarney","S-1-5-21-3260797174-3569655007-1560041723-1359","Varney","rickyvarney@cimitra.com"
,"CN=Karen Varney,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Karen","Karen Varney","user","cedde444-4e81-4b77-8a4b-435578a7ca39","karenvarney","S-1-5-21-3260797174-3569655007-1560041723-1366","Varney","karenvarney@cimitra.com"
"Scott Kunau","CN=Scott Kunau,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Scott","Scott Kunau","user","a05533e6-5902-405e-b23e-aceb9f36bc28","skunau","S-1-5-21-3260797174-3569655007-1560041723-1367","Kunau","skunau@itgt.net"
"Joe Farr","CN=Joe Farr,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Joe","Joe Farr","user","3cf82930-e998-4d84-8c2f-5eea688c9d1c","joefarr","S-1-5-21-3260797174-3569655007-1560041723-1414","Farr","joefarr@example.com"
"Ross Phillip","CN=Ross Phillip,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Ross","Ross Phillip","user","f7e35361-c60d-4995-9e5c-5cddc62fdd11","rossphillips","S-1-5-21-3260797174-3569655007-1560041723-1415","Phillip","rossphillips@cimitra.com"
"Bryan Gritton","CN=Bryan Gritton,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Bryan","Bryan Gritton","user","0bc347f9-3951-429f-b5d8-6116446e1da7","bryangritton","S-1-5-21-3260797174-3569655007-1560041723-1416","Gritton","bryangritton@cimitra.com"
"Jane Teacher","CN=Jane Teacher,OU=FACULTY,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Jane","Jane Teacher","user","9f86562d-8a06-4a8c-803d-67888b7b7791","janeteacher","S-1-5-21-3260797174-3569655007-1560041723-1422","Teacher",
,"CN=Joe Teacher,OU=FACULTY,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Joe","Joe Teacher","user","49f1b130-2b75-4d68-960e-fd473982977c","joeteacher","S-1-5-21-3260797174-3569655007-1560041723-1423","Teacher",
"Bob Owens","CN=Bob Owens,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Bob","Bob Owens","user","617870e6-cd75-4d32-9420-868d6d7bc08b","bobowens","S-1-5-21-3260797174-3569655007-1560041723-1424","Owens",
,"CN=Dori Hampl,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Dori","Dori Hampl","user","3cc7f3a3-262c-495f-aeb6-ad1b8e0c0a46","dorihampl","S-1-5-21-3260797174-3569655007-1560041723-1425","Hampl",
,"CN=Kea Kratzer,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Kea","Kea Kratzer","user","a160086c-5fa9-40b9-9308-388210abbff3","keakratzer","S-1-5-21-3260797174-3569655007-1560041723-1426","Kratzer",
,"CN=Ruth St. Germain,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Ruth","Ruth St. Germain","user","af29003b-1dc7-4a21-9513-c41c3294d731","ruthst. germain","S-1-5-21-3260797174-3569655007-1560041723-1427","St. Germain",
,"CN=Karen Long,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Karen","Karen Long","user","a7472604-f145-4369-bcc2-64a1032a89ab","karenlong","S-1-5-21-3260797174-3569655007-1560041723-1428","Long",
,"CN=Ira Kratzer,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Ira","Ira Kratzer","user","bf6c8239-f932-4f81-9ced-e461182fc91f","irakratzer","S-1-5-21-3260797174-3569655007-1560041723-1429","Kratzer",
"Bob Smithfield","CN=Bob Smithfield,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Bob","Bob Smithfield","user","81addebd-c1ea-43f7-925e-a07b4dff6936","bobsmitty","S-1-5-21-3260797174-3569655007-1560041723-1430","Smithfield",
,"CN=Bob Smith,OU=ADMINISTRATION,OU=USERS,OU=KCC,OU=DEMOSYSTEM,DC=cimitrademo,DC=com","True","Bob","Bob Smith","user","1d4ed39a-9136-43ee-8404-6a125a45e969","bobsmith","S-1-5-21-3260797174-3569655007-1560041723-1432","Smith",
